گروه,پوشه,symbol,معاملات,سودده,زیانده,وین‌ریت(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,بازده واقعی(%),بازده ویژه(%),نوع
aggregated,Best_15m_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT_INV,ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,2723,959,1764,35.22,-38.00,19,-2928.35,0.313,-0.854,-2928.3435,-2928.3435,معکوس
aggregated,Best_15m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,3770,2473,1297,65.60,-20.00,10,-40.24,1.403,0.333,1347.9741,1347.9741,اصلی
aggregated,Best_15m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,3770,1297,2473,34.40,-44.00,22,-4140.97,0.310,-0.879,-4140.9651,-4140.9651,معکوس
aggregated,Best_1h_BTCUSDT,BTCUSDT,158,92,66,58.23,-14.00,7,-6.67,1.573,0.295,56.0732,56.0732,اصلی
aggregated,Best_1h_BTCUSDT_INV,BTCUSDT,158,66,92,41.77,-16.00,8,-137.56,0.356,-0.626,-136.9641,-136.9641,معکوس
aggregated,Best_1h_ETHUSDT,ETHUSDT,89,54,35,60.67,-8.00,4,-7.52,1.631,0.355,54.8055,54.8055,اصلی
aggregated,Best_1h_ETHUSDT_INV,ETHUSDT,89,35,54,39.33,-20.00,10,-75.88,0.516,-0.495,-71.8492,-71.8492,معکوس
aggregated,Best_1h_PAXGUSDT,PAXGUSDT,61,30,31,49.18,-8.00,4,-9.59,0.725,-0.150,-5.7399,-5.7399,اصلی
aggregated,Best_1h_PAXGUSDT_INV,PAXGUSDT,61,31,30,50.82,-12.00,6,-40.79,0.310,-0.504,-40.7907,-40.7907,معکوس
aggregated,Best_1h_SOLUSDT,SOLUSDT,66,44,22,66.67,-8.00,4,-3.95,1.701,0.494,61.6849,61.6849,اصلی
aggregated,Best_1h_SOLUSDT_INV,SOLUSDT,66,22,44,33.33,-16.00,8,-63.79,0.584,-0.599,-62.3198,-62.3198,معکوس
aggregated,Best_1h_XRPUSDT,XRPUSDT,90,63,27,70.00,-6.00,3,-3.76,2.066,0.556,83.4589,83.4589,اصلی
aggregated,Best_1h_XRPUSDT_INV,XRPUSDT,90,27,63,30.00,-18.00,9,-104.68,0.405,-0.877,-104.1502,-104.1502,معکوس
aggregated,Best_1h_BTCUSDT_ETHUSDT,BTCUSDT_ETHUSDT,247,146,101,59.11,-14.00,7,-7.52,1.614,0.316,110.8788,110.8788,اصلی
aggregated,Best_1h_BTCUSDT_ETHUSDT_INV,BTCUSDT_ETHUSDT,247,101,146,40.89,-20.00,10,-210.02,0.412,-0.573,-208.8133,-208.8133,معکوس
aggregated,Best_1h_BTCUSDT_PAXGUSDT,BTCUSDT_PAXGUSDT,219,122,97,55.71,-14.00,7,-9.89,1.399,0.210,50.3333,50.3333,اصلی
aggregated,Best_1h_BTCUSDT_PAXGUSDT_INV,BTCUSDT_PAXGUSDT,219,97,122,44.29,-16.00,8,-177.76,0.341,-0.593,-177.7548,-177.7548,معکوس
aggregated,Best_1h_BTCUSDT_SOLUSDT,BTCUSDT_SOLUSDT,224,136,88,60.71,-14.00,7,-6.67,1.695,0.360,117.7581,117.7581,اصلی
aggregated,Best_1h_BTCUSDT_SOLUSDT_INV,BTCUSDT_SOLUSDT,224,88,136,39.29,-16.00,8,-200.76,0.413,-0.618,-199.2839,-199.2839,معکوس
aggregated,Best_1h_BTCUSDT_XRPUSDT,BTCUSDT_XRPUSDT,248,155,93,62.50,-14.00,7,-6.67,1.815,0.398,139.5321,139.5321,اصلی
aggregated,Best_1h_BTCUSDT_XRPUSDT_INV,BTCUSDT_XRPUSDT,248,93,155,37.50,-18.00,9,-241.65,0.370,-0.712,-241.1143,-241.1143,معکوس
aggregated,Best_1h_ETHUSDT_PAXGUSDT,ETHUSDT_PAXGUSDT,150,84,66,56.00,-8.00,4,-10.50,1.482,0.228,49.0656,49.0656,اصلی
aggregated,Best_1h_ETHUSDT_PAXGUSDT_INV,ETHUSDT_PAXGUSDT,150,66,84,44.00,-20.00,10,-115.46,0.419,-0.497,-112.6399,-112.6399,معکوس
aggregated,Best_1h_ETHUSDT_SOLUSDT,ETHUSDT_SOLUSDT,155,98,57,63.23,-8.00,4,-7.52,1.677,0.417,116.4905,116.4905,اصلی
aggregated,Best_1h_ETHUSDT_SOLUSDT_INV,ETHUSDT_SOLUSDT,155,57,98,36.77,-20.00,10,-138.46,0.542,-0.539,-134.1690,-134.1690,معکوس
aggregated,Best_1h_ETHUSDT_XRPUSDT,ETHUSDT_XRPUSDT,179,117,62,65.36,-8.00,4,-7.52,1.793,0.453,138.2645,138.2645,اصلی
aggregated,Best_1h_ETHUSDT_XRPUSDT_INV,ETHUSDT_XRPUSDT,179,62,117,34.64,-20.00,10,-179.35,0.468,-0.661,-175.9994,-175.9994,معکوس
aggregated,Best_1h_PAXGUSDT_SOLUSDT,PAXGUSDT_SOLUSDT,127,74,53,58.27,-8.00,4,-9.59,1.609,0.291,55.9450,55.9450,اصلی
aggregated,Best_1h_PAXGUSDT_SOLUSDT_INV,PAXGUSDT_SOLUSDT,127,53,74,41.73,-16.00,8,-104.58,0.423,-0.555,-103.1105,-103.1105,معکوس
